,受访页面,2018-06-15,2018-06-16,2018-06-17,2018-06-18,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29,2018-06-30,2018-07-01,2018-07-02,2018-07-03,2018-07-04,2018-07-05,2018-07-06,2018-07-07,2018-07-08,2018-07-09,2018-07-10,2018-07-11,2018-07-12,2018-07-13,2018-07-14,2018-07-15,2018-07-16,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23,2018-07-24,2018-07-25,2018-07-26,2018-07-27,2018-07-28,2018-07-29
18,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=764362&subbranchId=f108d49115db4887a305dd47ed61df27,0,2,5,0,1,2,0,0,0,0,0,0,1,1,0,0,2,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0
19,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=2&attentionQRcode=https://imgs.52wxr.com/upload/image/201806/20180611/1528708440662034255.jpg,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=2&attentionQRcode=https://imgs.52wxr.com/upload/image/201805/20180522/1526958525706041011.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=473229&subbranchId=00bymfdhdkm89pg5y7w89b3nmk,0,1,1,2,0,1,0,4,0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=959962&subbranchId=00sgml1dian90wpq7m4dv64byte3,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,3,0,0,2,0
23,https://fenqi.52wxr.com/h5/cardevo/index.html#/payCustomer/3,0,1,5,0,0,6,0,0,0,0,2,0,0,19,1,0,0,0,0,4,3,0,1,0,0,0,0,5,0,0,2,0,5,6,0,0,0,3,0,0,5,0,4,1,0
24,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/66af1346aaeb43478eb026e81ce94a3e,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=848679&subbranchId=65b2ca17e4704fefb65e8ba27ae5a523,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/a95eb1bbab884f6994a01300b188d108,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=864643&subbranchId=00csfhuangniuhuoguo309uf98u33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,3,5,7,6
28,https://fenqi.52wxr.com/h5/cardevo/index.html#/importMember,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/1b7970095f984eb2ade9807a98262109,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/25daa42f153646bf8d606942372e1ba3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/0b40c8cc214345538c79acd239abf641,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=735222&subbranchId=53b05c88adb34c968662f81c2e737b72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnceStation/25daa42f153646bf8d606942372e1ba3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,http://test.fenqi.52wxr.com/h5/cardevo/index.html#/payCustomer/3,0,0,0,0,6,0,0,5,0,0,25,0,14,0,0,0,0,5,13,8,0,17,0,0,0,4,3,4,0,0,0,0,0,27,5,9,0,0,0,0,0,0,0,0,0
35,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=1&inviteCode=695473&subbranchId=c400cab0ba784bbabe93217e7560ff82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,https://fenqi.52wxr.com/h5/cardevo/index.html#/payAttention?attenType=2&attentionQRcode=https://imgs.52wxr.com/upload/image/201805/20180529/1527558881490066705.jpg,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=bfcde0da89ae444d852244cfe80bcc9a&merchantId=1ae39199ce82424eb8f730324bd67461&hasCard=3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/48da32f8a929485a943ff0a51c90c8d9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=4197ec63faab4f53a0099023e2ea8ece&hasCard=1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,http://test.fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/yifanmeirongMerchant_P4005,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=d667eab7ba894e228b8640073cfc8a91&merchantId=cater&hasCard=3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=bfcde0da89ae444d852244cfe80bcc9a&hasCard=1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,https://fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/1076306d85784f9e8808f548ef1003a0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,http://test.fenqi.52wxr.com/h5/cardevo/index.html#/payCustomer/status,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=931272971dcd447689c94a1754013239&hasCard=1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=d3bf0746138d475ba2bbf34abc8967c8&hasCard=1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=65916b9c0b0a465194af14ceef5d0954&hasCard=1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,http://test.fenqi.52wxr.com/h5/cardevo/index.html#/productDetailOnce/ec54f2766c164529936660a51a6f19ea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=b6a6dd9cef2a4276804c16a718e1741c&hasCard=1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=44f180af6c1e4b28991465c4d1a37488&merchantId=yifanmeirongMerchant&hasCard=3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=931272971dcd447689c94a1754013239&merchantId=1ae39199ce82424eb8f730324bd67461&hasCard=3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,http://test.fenqi.52wxr.com/h5/card/pay/couponDetail.html?couponId=49fcd79600724fb98ed824471aeb40c9&merchantId=yifanmeirongMerchant&hasCard=3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
